	Time	VacSampleX	VacSampleY	Energy	Pilatus_Tiff	Pilatus_Trigger	Pilatus_filename	PilatusAcqTime	Keysight1	Keysight2	Keysight3	Keysight4	Keysight1:StandardDeviation	Keysight2:StandardDeviation	Keysight3:StandardDeviation	Keysight4:StandardDeviation	PilatusPos	SampleName	SampleThickness	Empty_Index	Background_Index	Reference_Index	MaskFile	x_Center	y_Center	SampleToDet_Distance
0	34.827	133	-1.09999999999585E-5	7000.002692	378	379	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00378.tif	600	2.29931757071548E-6	5.43064259567387E-10	5.54026114808652E-13	2.93357131447587E-7	2.64288650697307E-9	2.69551369036128E-11	2.46005505071559E-14	3.44247630385555E-10	3012.874	Empty	1	0	0	1	mask_short.edf	456.736	556.579	0.80169
1	639.834	123	-3.99999999995846E-6	7000.002692	379	380	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00379.tif	300	2.15285342192691E-6	5.4320023255814E-10	5.48337249169435E-13	2.93460036544851E-7	2.73589447616646E-9	2.42776176263735E-11	2.3299910641768E-14	3.70475067078327E-10	3012.874	GC	0.009116	0	0	1	mask_short.edf	456.736	556.579	0.80169
2	944.835	113	4.16333634234434E-17	7000.002692	380	381	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00380.tif	10	1.33752927272727E-6	5.67580909090909E-10	5.62672272727273E-13	2.93090727272727E-7	2.51455797670104E-10	1.68630551529345E-11	1.21750434996423E-14	6.61272877246502E-11	3012.874	AgBeh	0.02	0	0	1	mask_short.edf	456.736	556.579	0.80169
3	963.534	88.1599999999999	1.00000000004177E-6	7000.002692	381	382	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00381.tif	600	1.44882327121464E-6	5.8200302828619E-10	5.45635450915142E-13	2.91848594009983E-7	7.23439263089787E-9	3.0772020053086E-11	2.01442178073013E-14	1.5523205934657E-9	3012.874	Empty Cap	0.1	0	0	1	mask_short.edf	456.736	556.579	0.80169
4	1567.693	83.0999999999999	4.16333634234434E-17	7000.002692	382	383	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00382.tif	600	9.86093605657238E-7	5.6570990016639E-10	5.56691207986688E-13	2.90003594009983E-7	1.58149734615697E-9	2.45818320579112E-11	2.25467718497572E-14	4.82797585154158E-10	3012.874	Hexane Cap	0.1	0	0	1	mask_short.edf	456.736	556.579	0.80169
5	2171.456	78.5599999999999	4.16333634234434E-17	7000.002692	383	384	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00383.tif	300	1.04385932666666E-6	5.64552366666667E-10	5.29914236666666E-13	2.90000706666667E-7	1.36199787100603E-9	2.53614565893471E-11	1.90577502148467E-14	3.59386462442389E-10	3012.874	223	0.1	0	3	1	mask_short.edf	456.736	556.579	0.80169
6	2475.185	73.0299999999999	3.0000000000416E-6	7000.002692	384	385	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00384.tif	300	1.06328556810631E-6	5.68110398671096E-10	5.30571860465116E-13	2.90510634551495E-7	2.45771399329665E-9	2.67275245363377E-11	2.8287434244445E-14	6.5744116036003E-10	3012.874	214neu	0.1	0	3	1	mask_short.edf	456.736	556.579	0.80169
7	2778.932	68.5899999999999	4.16333634234434E-17	7000.002692	385	386	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00385.tif	420	1.0772932E-6	5.6220219047619E-10	5.43414873809525E-13	2.90150930952381E-7	3.91170995064139E-9	2.73955988741342E-11	2.96775074975251E-14	1.04740921080871E-9	3012.874	211	0.1	0	3	1	mask_short.edf	456.736	556.579	0.80169
8	3202.678	63.3299999999999	4.16333634234434E-17	7000.002692	386	387	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00386.tif	600	1.05314404658902E-6	5.49387154742096E-10	5.64165256239601E-13	2.91110247920133E-7	1.61848591832793E-9	2.73517234324338E-11	2.52835017988851E-14	4.68045549884271E-10	3012.874	187	0.1	0	3	1	mask_short.edf	456.736	556.579	0.80169
9	3806.631	57.9399999999999	1.00000000004177E-6	7000.002692	387	388	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00387.tif	600	1.02071221630616E-6	5.43559267886855E-10	5.81362204658902E-13	2.91478154742097E-7	1.55543043553852E-9	3.21506806998407E-11	2.09689298161124E-14	4.22189500518795E-10	3012.874	193	0.1	0	3	1	mask_short.edf	456.736	556.579	0.80169
10	4410.358	53.2699999999999	4.16333634234434E-17	7000.002692	388	389	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00388.tif	600	1.04749780698835E-6	5.45345124792014E-10	5.63625833610649E-13	2.91830998336107E-7	2.28431435067162E-9	2.78960302556846E-11	3.72378232527844E-14	6.99125478721299E-10	3012.874	207	0.1	0	3	1	mask_short.edf	456.736	556.579	0.80169
11	5015.343	43.5099999999999	1.00000000004177E-6	7000.002692	389	390	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00389.tif	600	1.08148177703827E-6	5.47148086522462E-10	5.71186705490849E-13	2.92171048252912E-7	3.22078043237015E-9	2.71291893999649E-11	1.86630156364074E-14	8.50636798326867E-10	3012.874	193neu	0.1	0	3	1	mask_short.edf	456.736	556.579	0.80169
12	5622.921	22.9999999999999	9.500007	7000.002692	390	391	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00390.tif	150	1.34720039333334E-6	5.40655E-10	5.8331446E-13	2.91861646666667E-7	5.63168725882053E-9	2.04904865386502E-11	2.33641081979958E-14	1.20038349653235E-9	3012.875	203	0.1	0	16	1	mask_short.edf	456.736	556.579	0.80169
13	5777.47	22.9999999999999	1.000003	7000.002692	391	392	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00391.tif	300	1.46894463666667E-6	5.609317E-10	5.84041503333334E-13	2.92597096666667E-7	1.76383128273912E-9	2.71976196352317E-11	1.85504686525009E-14	3.40354665483804E-10	3012.875	217	0.1	0	16	1	mask_short.edf	456.736	556.579	0.80169
14	6082.775	22.9999999999999	-9.149996	7000.002692	392	393	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00392.tif	300	1.44833117275748E-6	5.37362458471761E-10	5.66938166112956E-13	2.92547378737542E-7	1.83472233232237E-9	3.31199642703475E-11	2.73061085405012E-14	3.75947641850688E-10	3012.875	195	0.1	0	16	1	mask_short.edf	456.736	556.579	0.80169
15	6391.718	12.9999999999999	7.800003	7000.002692	393	394	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00393.tif	600	1.44080490349417E-6	5.75617504159734E-10	5.66681053244592E-13	2.92326589018303E-7	2.02955515585817E-9	2.6904118713691E-11	2.10599991605847E-14	4.06462654060447E-10	3012.875	232	0.1	0	16	1	mask_short.edf	456.736	556.579	0.80169
16	6996.027	12.9999999999999	1.73000000000042E-4	7000.002692	394	395	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00394.tif	600	1.47082910648919E-6	5.63102113144759E-10	5.97821505823627E-13	2.92157316139767E-7	5.0103990179068E-9	3.38525597854458E-11	2.3830992795805E-14	9.79596532535603E-10	3012.875	empty Kapton Hexane	0.1	0	0	1	mask_short.edf	456.736	556.579	0.80169
